iter	Passed	Remaining
0	178	88985
1	202	50452
2	235	38979
3	266	32999
4	290	28799
5	315	26016
6	346	24373
7	367	22623
8	395	21562
9	422	20715
10	449	19971
11	475	19327
12	501	18789
13	525	18229
14	547	17704
15	569	17217
16	598	17003
17	624	16714
18	647	16380
19	668	16051
20	696	15883
21	720	15663
22	749	15548
23	773	15350
24	802	15240
25	828	15103
26	854	14962
27	885	14928
28	911	14801
29	937	14685
30	968	14652
31	998	14599
32	1027	14542
33	1056	14480
34	1087	14442
35	1116	14396
36	1144	14323
37	1170	14226
38	1197	14156
39	1226	14105
40	1256	14061
41	1284	14004
42	1309	13917
43	1339	13881
44	1368	13836
45	1398	13802
46	1424	13734
47	1454	13698
48	1485	13669
49	1515	13641
50	1545	13605
51	1573	13556
52	1603	13524
53	1633	13488
54	1662	13450
55	1688	13385
56	1718	13355
57	1748	13326
58	1776	13278
59	1806	13248
60	1835	13207
61	1862	13160
62	1892	13124
63	1922	13098
64	1955	13087
65	1987	13068
66	2020	13057
67	2051	13033
68	2084	13018
69	2118	13010
70	2153	13014
71	2184	12985
72	2217	12969
73	2245	12929
74	2275	12892
75	2306	12868
76	2335	12831
77	2368	12813
78	2399	12785
79	2430	12761
80	2463	12742
81	2496	12728
82	2528	12702
83	2556	12661
84	2586	12627
85	2618	12606
86	2651	12585
87	2680	12547
88	2707	12504
89	2733	12453
90	2764	12426
91	2793	12387
92	2820	12342
93	2851	12316
94	2881	12284
95	2910	12247
96	2942	12222
97	2973	12197
98	3005	12175
99	3037	12148
100	3067	12117
101	3101	12102
102	3130	12065
103	3160	12035
104	3191	12005
105	3220	11971
106	3249	11933
107	3280	11905
108	3311	11878
109	3341	11847
110	3371	11816
111	3401	11782
112	3429	11744
113	3457	11707
114	3485	11667
115	3513	11632
116	3543	11600
117	3568	11553
118	3595	11511
119	3624	11479
120	3653	11443
121	3683	11413
122	3712	11377
123	3740	11341
124	3770	11311
125	3800	11279
126	3830	11249
127	3858	11214
128	3889	11186
129	3919	11154
130	3949	11124
131	3978	11092
132	4008	11060
133	4034	11020
134	4064	10988
135	4093	10957
136	4124	10927
137	4153	10894
138	4180	10858
139	4212	10831
140	4242	10801
141	4269	10764
142	4299	10733
143	4327	10699
144	4359	10672
145	4386	10635
146	4414	10600
147	4442	10564
148	4472	10536
149	4502	10505
150	4529	10468
151	4558	10437
152	4587	10404
153	4615	10370
154	4648	10345
155	4677	10314
156	4707	10285
157	4741	10262
158	4771	10234
159	4803	10208
160	4832	10175
161	4876	10174
162	4906	10144
163	4938	10117
164	4970	10090
165	4999	10059
166	5029	10029
167	5059	9998
168	5084	9958
169	5115	9930
170	5147	9903
171	5177	9874
172	5208	9844
173	5239	9815
174	5272	9792
175	5303	9762
176	5331	9730
177	5363	9702
178	5396	9677
179	5426	9646
180	5457	9617
181	5486	9585
182	5518	9559
183	5549	9529
184	5577	9497
185	5608	9468
186	5636	9434
187	5666	9403
188	5695	9371
189	5722	9336
190	5749	9302
191	5778	9269
192	5807	9238
193	5837	9207
194	5865	9174
195	5896	9145
196	5926	9115
197	5956	9084
198	5982	9048
199	6010	9016
200	6039	8983
201	6069	8954
202	6099	8923
203	6128	8892
204	6156	8859
205	6184	8826
206	6213	8795
207	6241	8761
208	6270	8731
209	6300	8700
210	6331	8671
211	6359	8639
212	6387	8607
213	6417	8576
214	6444	8542
215	6473	8511
216	6501	8479
217	6530	8447
218	6558	8415
219	6586	8383
220	6617	8353
221	6644	8321
222	6673	8289
223	6702	8258
224	6730	8226
225	6760	8195
226	6790	8165
227	6820	8137
228	6850	8106
229	6879	8075
230	6907	8043
231	6935	8011
232	6964	7980
233	6992	7948
234	7021	7918
235	7049	7885
236	7076	7852
237	7104	7821
238	7133	7790
239	7163	7760
240	7193	7730
241	7239	7718
242	7282	7701
243	7324	7684
244	7352	7652
245	7379	7619
246	7408	7588
247	7436	7556
248	7463	7523
249	7492	7492
250	7522	7462
251	7552	7432
252	7579	7400
253	7610	7370
254	7632	7333
255	7659	7300
256	7688	7270
257	7717	7239
258	7746	7208
259	7775	7177
260	7803	7145
261	7832	7115
262	7872	7093
263	7900	7062
264	7928	7030
